Date,FromCurrency,ToCurrency,Exchange
2022-01-01,AUD,AUD,1.00000
2022-01-01,AUD,CAD,0.92174
2022-01-01,AUD,EUR,0.64041
2022-01-01,AUD,GBP,0.53812
2022-01-01,AUD,USD,0.72533
2022-01-01,CAD,AUD,1.08490
2022-01-01,CAD,CAD,1.00000
2022-01-01,CAD,EUR,0.69478
2022-01-01,CAD,GBP,0.58381
2022-01-01,CAD,USD,0.78691
2022-01-01,EUR,AUD,1.5615
2022-01-01,EUR,CAD,1.4393
2022-01-01,EUR,EUR,1.0
2022-01-01,EUR,GBP,0.84028
2022-01-01,EUR,USD,1.1326
2022-01-01,GBP,AUD,1.85831
2022-01-01,GBP,CAD,1.71288
2022-01-01,GBP,EUR,1.19008
2022-01-01,GBP,GBP,1.00000
2022-01-01,GBP,USD,1.34788
2022-01-01,USD,AUD,1.37869
2022-01-01,USD,CAD,1.27079
2022-01-01,USD,EUR,0.88292
2022-01-01,USD,GBP,0.74190
2022-01-01,USD,USD,1.00000
2022-01-02,AUD,AUD,1.00000
2022-01-02,AUD,CAD,0.92174
2022-01-02,AUD,EUR,0.64041
2022-01-02,AUD,GBP,0.53812
2022-01-02,AUD,USD,0.72533
2022-01-02,CAD,AUD,1.08490
2022-01-02,CAD,CAD,1.00000
2022-01-02,CAD,EUR,0.69478
2022-01-02,CAD,GBP,0.58381
2022-01-02,CAD,USD,0.78691
2022-01-02,EUR,AUD,1.5615
2022-01-02,EUR,CAD,1.4393
2022-01-02,EUR,EUR,1.0
2022-01-02,EUR,GBP,0.84028
2022-01-02,EUR,USD,1.1326
2022-01-02,GBP,AUD,1.85831
2022-01-02,GBP,CAD,1.71288
2022-01-02,GBP,EUR,1.19008
2022-01-02,GBP,GBP,1.00000
2022-01-02,GBP,USD,1.34788
2022-01-02,USD,AUD,1.37869
2022-01-02,USD,CAD,1.27079
2022-01-02,USD,EUR,0.88292
2022-01-02,USD,GBP,0.74190
2022-01-02,USD,USD,1.00000
2022-01-03,AUD,AUD,1.00000
2022-01-03,AUD,CAD,0.91900
2022-01-03,AUD,EUR,0.63731
2022-01-03,AUD,GBP,0.53620
2022-01-03,AUD,USD,0.72366
2022-01-03,CAD,AUD,1.08814
2022-01-03,CAD,CAD,1.00000
2022-01-03,CAD,EUR,0.69348
2022-01-03,CAD,GBP,0.58346
2022-01-03,CAD,USD,0.78745
2022-01-03,EUR,AUD,1.5691
2022-01-03,EUR,CAD,1.442
2022-01-03,EUR,EUR,1.0
2022-01-03,EUR,GBP,0.84135
2022-01-03,EUR,USD,1.1355
2022-01-03,GBP,AUD,1.86498
2022-01-03,GBP,CAD,1.71391
2022-01-03,GBP,EUR,1.18857
2022-01-03,GBP,GBP,1.00000
2022-01-03,GBP,USD,1.34962
2022-01-03,USD,AUD,1.38186
2022-01-03,USD,CAD,1.26993
2022-01-03,USD,EUR,0.88067
2022-01-03,USD,GBP,0.74095
2022-01-03,USD,USD,1.00000
2022-01-04,AUD,AUD,1.00000
2022-01-04,AUD,CAD,0.91710
2022-01-04,AUD,EUR,0.63767
2022-01-04,AUD,GBP,0.53321
2022-01-04,AUD,USD,0.71923
2022-01-04,CAD,AUD,1.09039
2022-01-04,CAD,CAD,1.00000
2022-01-04,CAD,EUR,0.69531
2022-01-04,CAD,GBP,0.58141
2022-01-04,CAD,USD,0.78424
2022-01-04,EUR,AUD,1.5682
2022-01-04,EUR,CAD,1.4382
2022-01-04,EUR,EUR,1.0
2022-01-04,EUR,GBP,0.83618
2022-01-04,EUR,USD,1.1279
2022-01-04,GBP,AUD,1.87543
2022-01-04,GBP,CAD,1.71996
2022-01-04,GBP,EUR,1.19591
2022-01-04,GBP,GBP,1.00000
2022-01-04,GBP,USD,1.34887
2022-01-04,USD,AUD,1.39037
2022-01-04,USD,CAD,1.27511
2022-01-04,USD,EUR,0.88660
2022-01-04,USD,GBP,0.74136
2022-01-04,USD,USD,1.00000
2022-01-05,AUD,AUD,1.00000
2022-01-05,AUD,CAD,0.92301
2022-01-05,AUD,EUR,0.64103
2022-01-05,AUD,GBP,0.53555
2022-01-05,AUD,USD,0.72558
2022-01-05,CAD,AUD,1.08341
2022-01-05,CAD,CAD,1.00000
2022-01-05,CAD,EUR,0.69449
2022-01-05,CAD,GBP,0.58022
2022-01-05,CAD,USD,0.78610
2022-01-05,EUR,AUD,1.56
2022-01-05,EUR,CAD,1.4399
2022-01-05,EUR,EUR,1.0
2022-01-05,EUR,GBP,0.83546
2022-01-05,EUR,USD,1.1319
2022-01-05,GBP,AUD,1.86723
2022-01-05,GBP,CAD,1.72348
2022-01-05,GBP,EUR,1.19695
2022-01-05,GBP,GBP,1.00000
2022-01-05,GBP,USD,1.35482
2022-01-05,USD,AUD,1.37821
2022-01-05,USD,CAD,1.27211
2022-01-05,USD,EUR,0.88347
2022-01-05,USD,GBP,0.73810
2022-01-05,USD,USD,1.00000
2022-01-06,AUD,AUD,1.00000
2022-01-06,AUD,CAD,0.91590
2022-01-06,AUD,EUR,0.63379
2022-01-06,AUD,GBP,0.52981
2022-01-06,AUD,USD,0.71714
2022-01-06,CAD,AUD,1.09183
2022-01-06,CAD,CAD,1.00000
2022-01-06,CAD,EUR,0.69199
2022-01-06,CAD,GBP,0.57846
2022-01-06,CAD,USD,0.78299
2022-01-06,EUR,AUD,1.5778
2022-01-06,EUR,CAD,1.4451
2022-01-06,EUR,EUR,1.0
2022-01-06,EUR,GBP,0.83593
2022-01-06,EUR,USD,1.1315
2022-01-06,GBP,AUD,1.88748
2022-01-06,GBP,CAD,1.72873
2022-01-06,GBP,EUR,1.19627
2022-01-06,GBP,GBP,1.00000
2022-01-06,GBP,USD,1.35358
2022-01-06,USD,AUD,1.39443
2022-01-06,USD,CAD,1.27715
2022-01-06,USD,EUR,0.88378
2022-01-06,USD,GBP,0.73878
2022-01-06,USD,USD,1.00000
2022-01-07,AUD,AUD,1.00000
2022-01-07,AUD,CAD,0.90952
2022-01-07,AUD,EUR,0.63275
2022-01-07,AUD,GBP,0.52790
2022-01-07,AUD,USD,0.71488
2022-01-07,CAD,AUD,1.09949
2022-01-07,CAD,CAD,1.00000
2022-01-07,CAD,EUR,0.69570
2022-01-07,CAD,GBP,0.58042
2022-01-07,CAD,USD,0.78600
2022-01-07,EUR,AUD,1.5804
2022-01-07,EUR,CAD,1.4374
2022-01-07,EUR,EUR,1.0
2022-01-07,EUR,GBP,0.8343
2022-01-07,EUR,USD,1.1298
2022-01-07,GBP,AUD,1.89428
2022-01-07,GBP,CAD,1.72288
2022-01-07,GBP,EUR,1.19861
2022-01-07,GBP,GBP,1.00000
2022-01-07,GBP,USD,1.35419
2022-01-07,USD,AUD,1.39883
2022-01-07,USD,CAD,1.27226
2022-01-07,USD,EUR,0.88511
2022-01-07,USD,GBP,0.73845
2022-01-07,USD,USD,1.00000
2022-01-08,AUD,AUD,1.00000
2022-01-08,AUD,CAD,0.90952
2022-01-08,AUD,EUR,0.63275
2022-01-08,AUD,GBP,0.52790
2022-01-08,AUD,USD,0.71488
2022-01-08,CAD,AUD,1.09949
2022-01-08,CAD,CAD,1.00000
2022-01-08,CAD,EUR,0.69570
2022-01-08,CAD,GBP,0.58042
2022-01-08,CAD,USD,0.78600
2022-01-08,EUR,AUD,1.5804
2022-01-08,EUR,CAD,1.4374
2022-01-08,EUR,EUR,1.0
2022-01-08,EUR,GBP,0.8343
2022-01-08,EUR,USD,1.1298
2022-01-08,GBP,AUD,1.89428
2022-01-08,GBP,CAD,1.72288
2022-01-08,GBP,EUR,1.19861
2022-01-08,GBP,GBP,1.00000
2022-01-08,GBP,USD,1.35419
2022-01-08,USD,AUD,1.39883
2022-01-08,USD,CAD,1.27226
2022-01-08,USD,EUR,0.88511
2022-01-08,USD,GBP,0.73845
2022-01-08,USD,USD,1.00000
2022-01-09,AUD,AUD,1.00000
2022-01-09,AUD,CAD,0.90952
2022-01-09,AUD,EUR,0.63275
2022-01-09,AUD,GBP,0.52790
2022-01-09,AUD,USD,0.71488
2022-01-09,CAD,AUD,1.09949
2022-01-09,CAD,CAD,1.00000
2022-01-09,CAD,EUR,0.69570
2022-01-09,CAD,GBP,0.58042
2022-01-09,CAD,USD,0.78600
2022-01-09,EUR,AUD,1.5804
2022-01-09,EUR,CAD,1.4374
2022-01-09,EUR,EUR,1.0
2022-01-09,EUR,GBP,0.8343
2022-01-09,EUR,USD,1.1298
2022-01-09,GBP,AUD,1.89428
2022-01-09,GBP,CAD,1.72288
2022-01-09,GBP,EUR,1.19861
2022-01-09,GBP,GBP,1.00000
2022-01-09,GBP,USD,1.35419
2022-01-09,USD,AUD,1.39883
2022-01-09,USD,CAD,1.27226
2022-01-09,USD,EUR,0.88511
2022-01-09,USD,GBP,0.73845
2022-01-09,USD,USD,1.00000
2022-01-10,AUD,AUD,1.00000
2022-01-10,AUD,CAD,0.90827
2022-01-10,AUD,EUR,0.63395
2022-01-10,AUD,GBP,0.52871
2022-01-10,AUD,USD,0.71751
2022-01-10,CAD,AUD,1.10100
2022-01-10,CAD,CAD,1.00000
2022-01-10,CAD,EUR,0.69798
2022-01-10,CAD,GBP,0.58210
2022-01-10,CAD,USD,0.78998
2022-01-10,EUR,AUD,1.5774
2022-01-10,EUR,CAD,1.4327
2022-01-10,EUR,EUR,1.0
2022-01-10,EUR,GBP,0.83398
2022-01-10,EUR,USD,1.1318
2022-01-10,GBP,AUD,1.89141
2022-01-10,GBP,CAD,1.71791
2022-01-10,GBP,EUR,1.19907
2022-01-10,GBP,GBP,1.00000
2022-01-10,GBP,USD,1.35711
2022-01-10,USD,AUD,1.39371
2022-01-10,USD,CAD,1.26586
2022-01-10,USD,EUR,0.88355
2022-01-10,USD,GBP,0.73686
2022-01-10,USD,USD,1.00000
2022-01-11,AUD,AUD,1.00000
2022-01-11,AUD,CAD,0.90667
2022-01-11,AUD,EUR,0.63275
2022-01-11,AUD,GBP,0.52819
2022-01-11,AUD,USD,0.71729
2022-01-11,CAD,AUD,1.10294
2022-01-11,CAD,CAD,1.00000
2022-01-11,CAD,EUR,0.69789
2022-01-11,CAD,GBP,0.58256
2022-01-11,CAD,USD,0.79112
2022-01-11,EUR,AUD,1.5804
2022-01-11,EUR,CAD,1.4329
2022-01-11,EUR,EUR,1.0
2022-01-11,EUR,GBP,0.83475
2022-01-11,EUR,USD,1.1336
2022-01-11,GBP,AUD,1.89326
2022-01-11,GBP,CAD,1.71656
2022-01-11,GBP,EUR,1.19796
2022-01-11,GBP,GBP,1.00000
2022-01-11,GBP,USD,1.35801
2022-01-11,USD,AUD,1.39414
2022-01-11,USD,CAD,1.26403
2022-01-11,USD,EUR,0.88215
2022-01-11,USD,GBP,0.73637
2022-01-11,USD,USD,1.00000
2022-01-12,AUD,AUD,1.00000
2022-01-12,AUD,CAD,0.90477
2022-01-12,AUD,EUR,0.63444
2022-01-12,AUD,GBP,0.52873
2022-01-12,AUD,USD,0.72136
2022-01-12,CAD,AUD,1.10525
2022-01-12,CAD,CAD,1.00000
2022-01-12,CAD,EUR,0.70121
2022-01-12,CAD,GBP,0.58438
2022-01-12,CAD,USD,0.79728
2022-01-12,EUR,AUD,1.5762
2022-01-12,EUR,CAD,1.4261
2022-01-12,EUR,EUR,1.0
