OrderKey,LineNumber,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost
87200,0,115,2,187.4925,187.4925,62.1225
87200,1,226,1,239.2,239.2,121.952
87200,2,1456,1,541.8,471.366,249.156
87900,0,436,3,922.5,904.05,470.325
87900,1,1635,1,13.734,13.59666,4.548
88600,0,48,3,112.4625,112.4625,57.3375
88600,1,2043,1,499.455,499.455,165.48
88600,2,1004,3,300.8,270.72,138.32
88600,3,435,1,674.875,587.14125,344.075
88600,4,1,5,9.7425,8.5734,4.965
88600,6,1169,5,905.6,805.984,416.448
89300,0,1636,5,7.596,6.98832,3.492
90000,0,15,7,58.26,58.26,26.79
90700,0,2490,2,26.982,24.2838,13.752
90700,1,2003,7,134.9925,120.143325,62.0775
90700,2,1188,6,288,253.44,146.832
91400,0,661,3,570,501.6,188.85
91400,1,88,2,112.4925,103.4931,37.2675
91400,3,61,3,135.75,135.75,62.43
91400,4,2096,4,658.125,658.125,302.6475
91400,5,1474,4,374.4,374.4,172.17
92100,0,1576,2,11.691,11.57409,5.958
92100,1,420,7,999.8,889.822,509.72
92100,2,423,2,1198,1198,550.92
92800,0,97,3,55.268,48.63584,28.1752
92800,2,1600,6,52.092,52.092,23.958
92800,3,127,3,129.06,129.06,65.799
95600,0,599,5,4590,4314.6,1520.76
95600,1,32,7,209.1,184.008,69.2818
96300,0,1619,2,53.991,53.991,24.831
96300,1,2032,1,163.9918,159.072046,75.4154
97000,0,2125,2,133.66,120.294,68.142
97000,1,309,3,449.1,449.1,206.523
97000,2,452,1,439.9,409.107,224.28
97700,0,1582,5,16.191,14.73381,7.443
97700,1,805,1,105.8,95.22,53.94
98400,0,2093,5,416.56,379.0696,212.3718
98400,1,1587,1,16.191,16.191,7.443
98400,2,697,3,294,261.66,135.2
98400,3,1474,2,332.8,332.8,153.04
98900,0,417,6,1198,1078.2,550.92
99100,0,1130,8,414.7,414.7,190.71
99600,0,1535,8,428.8,377.344,197.184
99800,0,439,1,1118,1028.56,514.12
100300,0,1267,5,64.948,62.99956,33.111
100300,1,1614,1,233.991,233.991,77.526
100500,0,947,1,214.5,184.47,98.644
101000,0,529,8,1738,1512.06,575.84
101000,1,578,3,1998,1998,918.8
101200,0,454,5,539.8,475.024,275.2
101200,1,1029,3,260,257.4,86.138
101200,2,508,3,558,491.04,256.6
101700,0,1516,1,460.8,460.8,211.904
101700,1,428,7,1938,1938,642.1
101700,2,174,1,116.91,102.8808,38.736
101900,0,1489,3,496,431.52,228.096
101900,1,1632,1,16.191,13.92426,7.443
102400,0,1321,1,46.384,46.384,21.328
102600,0,521,4,518,518,238.22
102600,1,383,3,1198,1042.26,550.92
102600,2,1804,1,28.8,28.8,14.679
103100,0,2098,1,416.56,362.4072,212.3718
103100,1,1628,1,12.501,11.2509,5.751
103100,2,111,1,204.9918,180.392784,67.9206
103100,3,1626,6,197.1,197.1,65.304
103300,0,1505,7,368,323.84,169.232
103300,1,589,7,1398,1230.24,642.88
103300,2,1440,1,302.4,269.136,139.056
103300,3,2400,5,327.9918,327.9918,150.8308
103700,0,1392,6,68.784,59.15424,22.784
103700,1,80,2,33.251,30.59092,15.293
103700,2,392,4,765.9,673.992,390.48
103800,0,57,4,127.92,113.8488,65.2146
