OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
87200,0,2022-05-21,2022-05-21,34488,60,115,2,187.4925,187.4925,62.1225,AUD,1.41628
87200,1,2022-05-21,2022-05-21,34488,60,226,1,239.2,239.2,121.952,AUD,1.41628
87200,2,2022-05-21,2022-05-21,34488,60,1456,1,541.8,471.366,249.156,AUD,1.41628
87900,0,2022-05-28,2022-05-28,1938929,650,436,3,922.5,904.05,470.325,USD,1.00000
87900,1,2022-05-28,2022-05-28,1938929,650,1635,1,13.734,13.59666,4.548,USD,1.00000
88600,0,2022-06-04,2022-06-04,1518916,510,48,3,112.4625,112.4625,57.3375,USD,1.00000
88600,1,2022-06-04,2022-06-04,1518916,510,2043,1,499.455,499.455,165.48,USD,1.00000
88600,2,2022-06-04,2022-06-04,1518916,510,1004,3,300.8,270.72,138.32,USD,1.00000
88600,3,2022-06-04,2022-06-04,1518916,510,435,1,674.875,587.14125,344.075,USD,1.00000
88600,4,2022-06-04,2022-06-04,1518916,510,1,5,9.7425,8.5734,4.965,USD,1.00000
88600,6,2022-06-04,2022-06-04,1518916,510,1169,5,905.6,805.984,416.448,USD,1.00000
89300,0,2022-06-11,2022-06-11,2048559,510,1636,5,7.596,6.98832,3.492,USD,1.00000
90000,0,2022-06-18,2022-06-18,1374471,570,15,7,58.26,58.26,26.79,USD,1.00000
90700,0,2022-06-25,2022-06-25,1792052,440,2490,2,26.982,24.2838,13.752,USD,1.00000
90700,1,2022-06-25,2022-06-25,1792052,440,2003,7,134.9925,120.143325,62.0775,USD,1.00000
90700,2,2022-06-25,2022-06-25,1792052,440,1188,6,288,253.44,146.832,USD,1.00000
91400,0,2022-07-02,2022-07-08,1032589,999999,661,3,570,501.6,188.85,GBP,0.83116
91400,1,2022-07-02,2022-07-08,1032589,999999,88,2,112.4925,103.4931,37.2675,GBP,0.83116
91400,3,2022-07-02,2022-07-08,1032589,999999,61,3,135.75,135.75,62.43,GBP,0.83116
91400,4,2022-07-02,2022-07-08,1032589,999999,2096,4,658.125,658.125,302.6475,GBP,0.83116
91400,5,2022-07-02,2022-07-08,1032589,999999,1474,4,374.4,374.4,172.17,GBP,0.83116
92100,0,2022-07-09,2022-07-09,927522,420,1576,2,11.691,11.57409,5.958,GBP,0.83228
92100,1,2022-07-09,2022-07-09,927522,420,420,7,999.8,889.822,509.72,GBP,0.83228
92100,2,2022-07-09,2022-07-09,927522,420,423,2,1198,1198,550.92,GBP,0.83228
92800,0,2022-07-16,2022-07-16,454057,255,97,3,55.268,48.63584,28.1752,EUR,0.99413
92800,2,2022-07-16,2022-07-16,454057,255,1600,6,52.092,52.092,23.958,EUR,0.99413
92800,3,2022-07-16,2022-07-16,454057,255,127,3,129.06,129.06,65.799,EUR,0.99413
95600,0,2022-08-13,2022-08-19,2014910,999999,599,5,4590,4314.6,1520.76,USD,1.00000
95600,1,2022-08-13,2022-08-19,2014910,999999,32,7,209.1,184.008,69.2818,USD,1.00000
96300,0,2022-08-20,2022-08-20,1313627,590,1619,2,53.991,53.991,24.831,USD,1.00000
96300,1,2022-08-20,2022-08-20,1313627,590,2032,1,163.9918,159.072046,75.4154,USD,1.00000
97000,0,2022-08-27,2022-08-27,1388962,610,2125,2,133.66,120.294,68.142,USD,1.00000
97000,1,2022-08-27,2022-08-27,1388962,610,309,3,449.1,449.1,206.523,USD,1.00000
97000,2,2022-08-27,2022-08-27,1388962,610,452,1,439.9,409.107,224.28,USD,1.00000
97700,0,2022-09-03,2022-09-03,786428,300,1582,5,16.191,14.73381,7.443,EUR,1.00070
97700,1,2022-09-03,2022-09-03,786428,300,805,1,105.8,95.22,53.94,EUR,1.00070
98400,0,2022-09-10,2022-09-10,918594,360,2093,5,416.56,379.0696,212.3718,GBP,0.86436
98400,1,2022-09-10,2022-09-10,918594,360,1587,1,16.191,16.191,7.443,GBP,0.86436
98400,2,2022-09-10,2022-09-10,918594,360,697,3,294,261.66,135.2,GBP,0.86436
98400,3,2022-09-10,2022-09-10,918594,360,1474,2,332.8,332.8,153.04,GBP,0.86436
98900,0,2022-09-15,2022-09-19,1391373,999999,417,6,1198,1078.2,550.92,USD,1.00000
99100,0,2022-09-17,2022-09-17,401214,210,1130,8,414.7,414.7,190.71,EUR,1.00462
99600,0,2022-09-22,2022-09-22,1969985,510,1535,8,428.8,377.344,197.184,USD,1.00000
99800,0,2022-09-24,2022-09-27,240811,999999,439,1,1118,1028.56,514.12,CAD,1.35093
100300,0,2022-09-29,2022-09-29,1777491,585,1267,5,64.948,62.99956,33.111,USD,1.00000
100300,1,2022-09-29,2022-09-29,1777491,585,1614,1,233.991,233.991,77.526,USD,1.00000
100500,0,2022-10-01,2022-10-01,174863,35,947,1,214.5,184.47,98.644,AUD,1.54657
101000,0,2022-10-06,2022-10-06,1654941,440,529,8,1738,1512.06,575.84,USD,1.00000
101000,1,2022-10-06,2022-10-06,1654941,440,578,3,1998,1998,918.8,USD,1.00000
101200,0,2022-10-08,2022-10-08,1397380,610,454,5,539.8,475.024,275.2,USD,1.00000
101200,1,2022-10-08,2022-10-08,1397380,610,1029,3,260,257.4,86.138,USD,1.00000
101200,2,2022-10-08,2022-10-08,1397380,610,508,3,558,491.04,256.6,USD,1.00000
101700,0,2022-10-13,2022-10-13,1088856,420,1516,1,460.8,460.8,211.904,GBP,0.88832
101700,1,2022-10-13,2022-10-13,1088856,420,428,7,1938,1938,642.1,GBP,0.88832
101700,2,2022-10-13,2022-10-13,1088856,420,174,1,116.91,102.8808,38.736,GBP,0.88832
101900,0,2022-10-15,2022-10-15,2082641,570,1489,3,496,431.52,228.096,USD,1.00000
101900,1,2022-10-15,2022-10-15,2082641,570,1632,1,16.191,13.92426,7.443,USD,1.00000
102400,0,2022-10-20,2022-10-24,1070659,999999,1321,1,46.384,46.384,21.328,GBP,0.88939
102600,0,2022-10-22,2022-10-22,1253495,605,521,4,518,518,238.22,USD,1.00000
102600,1,2022-10-22,2022-10-22,1253495,605,383,3,1198,1042.26,550.92,USD,1.00000
102600,2,2022-10-22,2022-10-22,1253495,605,1804,1,28.8,28.8,14.679,USD,1.00000
103100,0,2022-10-27,2022-10-27,444240,240,2098,1,416.56,362.4072,212.3718,EUR,0.99631
103100,1,2022-10-27,2022-10-27,444240,240,1628,1,12.501,11.2509,5.751,EUR,0.99631
103100,2,2022-10-27,2022-10-27,444240,240,111,1,204.9918,180.392784,67.9206,EUR,0.99631
103100,3,2022-10-27,2022-10-27,444240,240,1626,6,197.1,197.1,65.304,EUR,0.99631
103300,0,2022-10-29,2022-10-29,1613348,650,1505,7,368,323.84,169.232,USD,1.00000
103300,1,2022-10-29,2022-10-29,1613348,650,589,7,1398,1230.24,642.88,USD,1.00000
103300,2,2022-10-29,2022-10-29,1613348,650,1440,1,302.4,269.136,139.056,USD,1.00000
103300,3,2022-10-29,2022-10-29,1613348,650,2400,5,327.9918,327.9918,150.8308,USD,1.00000
103700,0,2022-11-02,2022-11-02,900574,380,1392,6,68.784,59.15424,22.784,GBP,0.86899
103700,1,2022-11-02,2022-11-02,900574,380,80,2,33.251,30.59092,15.293,GBP,0.86899
103700,2,2022-11-02,2022-11-02,900574,380,392,4,765.9,673.992,390.48,GBP,0.86899
